,2018,2024,total,2018_relative,2024_relative,relative_diff
topla,2,8,10,0.001148105625717566,0.002136181575433912,0.0009880759497163459
değerlendir,0,10,10,0.0,0.0026702269692923898,0.0026702269692923898
edil,0,10,10,0.0,0.0026702269692923898,0.0026702269692923898
belirli,0,10,10,0.0,0.0026702269692923898,0.0026702269692923898
gerek,3,7,10,0.001722158438576349,0.001869158878504673,0.00014700043992832402
köşegen,2,8,10,0.001148105625717566,0.002136181575433912,0.0009880759497163459
seç,2,8,10,0.001148105625717566,0.002136181575433912,0.0009880759497163459
eşitsizlik,2,8,10,0.001148105625717566,0.002136181575433912,0.0009880759497163459
say,2,7,9,0.001148105625717566,0.001869158878504673,0.0007210532527871069
eğim,3,6,9,0.001722158438576349,0.0016021361815754338,-0.00012002225700091513
gösterim,4,5,9,0.002296211251435132,0.0013351134846461949,-0.0009610977667889372
karekök,0,9,9,0.0,0.002403204272363151,0.002403204272363151
nicel,0,9,9,0.0,0.002403204272363151,0.002403204272363151
sonuç,0,9,9,0.0,0.002403204272363151,0.002403204272363151
fazla,5,4,9,0.0028702640642939152,0.001068090787716956,-0.0018021732765769593
orta,4,5,9,0.002296211251435132,0.0013351134846461949,-0.0009610977667889372
hesapla,6,3,9,0.003444316877152698,0.0008010680907877169,-0.002643248786364981
katsayı,4,5,9,0.002296211251435132,0.0013351134846461949,-0.0009610977667889372
dil,0,9,9,0.0,0.002403204272363151,0.002403204272363151
iste,0,9,9,0.0,0.002403204272363151,0.002403204272363151
civar,0,9,9,0.0,0.002403204272363151,0.002403204272363151
teğet,4,5,9,0.002296211251435132,0.0013351134846461949,-0.0009610977667889372
temel,3,6,9,0.001722158438576349,0.0016021361815754338,-0.00012002225700091513
göz,0,9,9,0.0,0.002403204272363151,0.002403204272363151
bağ,0,8,8,0.0,0.002136181575433912,0.002136181575433912
ters,6,2,8,0.003444316877152698,0.000534045393858478,-0.00291027148329422
kiriş,3,5,8,0.001722158438576349,0.0013351134846461949,-0.00038704495393015407
eşit,6,2,8,0.003444316877152698,0.000534045393858478,-0.00291027148329422
eksen,8,0,8,0.004592422502870264,0.0,-0.004592422502870264
açıkla,8,0,8,0.004592422502870264,0.0,-0.004592422502870264
ilişkili,0,8,8,0.0,0.002136181575433912,0.002136181575433912
geliş,0,8,8,0.0,0.002136181575433912,0.002136181575433912
doğal,1,7,8,0.000574052812858783,0.001869158878504673,0.00129510606564589
kul,0,8,8,0.0,0.002136181575433912,0.002136181575433912
son,1,7,8,0.000574052812858783,0.001869158878504673,0.00129510606564589
sıfır,2,6,8,0.001148105625717566,0.0016021361815754338,0.0004540305558578678
karşılaş,1,7,8,0.000574052812858783,0.001869158878504673,0.00129510606564589
kural,5,3,8,0.0028702640642939152,0.0008010680907877169,-0.002069195973506198
görüntü,1,7,8,0.000574052812858783,0.001869158878504673,0.00129510606564589
yarar,1,7,8,0.000574052812858783,0.001869158878504673,0.00129510606564589
geçerli,0,8,8,0.0,0.002136181575433912,0.002136181575433912
gir,8,0,8,0.004592422502870264,0.0,-0.004592422502870264
araç,0,8,8,0.0,0.002136181575433912,0.002136181575433912
çöze,0,7,7,0.0,0.001869158878504673,0.001869158878504673
algoritmik,0,7,7,0.0,0.001869158878504673,0.001869158878504673
iliş,0,7,7,0.0,0.001869158878504673,0.001869158878504673
hak,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
sistem,2,5,7,0.001148105625717566,0.0013351134846461949,0.00018700785892862884
çarpım,5,2,7,0.0028702640642939152,0.000534045393858478,-0.0023362186704354374
prizma,1,6,7,0.000574052812858783,0.0016021361815754338,0.001028083368716651
sürekli,3,4,7,0.001722158438576349,0.001068090787716956,-0.000654067650859393
eşitlik,1,6,7,0.000574052812858783,0.0016021361815754338,0.001028083368716651
